iata,a_m2,a_mA,a_mD,a_s2,a_sA,a_sD,a_d2,a_dA,a_dD,a_i2,a_iA,a_iD,p_m2,p_mA,p_mD,p_s2,p_sA,p_sD,p_d2,p_dA,p_dD,p_i2,p_iA,p_iD,ndays
YYZ,345606.00000000134,172519.9999999987,173086.00000000067,56242794.00000015,28023374.999999877,28219418.999999754,20990846.999999836,10494931.999999966,10495915.000000067,35251947.00000007,17528443.000000026,17723503.99999981,77.73760762113704,43.93048776048137,47.77991227726521,13760.24660457109,7706.424567580115,7739.544710844711,5609.420889567948,3740.636966716755,3688.5438899599244,9398.297811208398,5814.030226977689,4974.1986789680905,365
LGA,356747.0000000012,178367.00000000038,178379.9999999995,41438912.999999866,20719177.999999963,20719735.00000025,39303591.000000045,19651603.999999963,19651987.000000056,2135322.000000026,1067574.0000000084,1067748.0000000019,80.85425868249396,42.63908182266816,45.623263569658256,9488.021836986543,5027.97097972473,5726.218793583641,9108.580559669563,4871.077490751821,5578.538102862401,752.6525641025643,426.1400534948916,455.58927738927787,365
SVO,206881.00000000073,103425.99999999927,103454.99999999943,39362532.00000009,19677958.99999997,19684573.00000001,24398471.99999984,12200447.99999997,12198023.999999981,14964060.000000056,7477511.000000046,7486548.999999995,43.63846286235929,24.490195899214175,25.33926085674601,9019.967731825418,4617.485685522924,4800.743294498038,5951.4857313927905,3515.6572541503756,3181.866634904206,4234.107551209069,2742.7544422897363,2689.215449256626,365
VIE,234642.9999999988,117276.99999999964,117366.00000000097,40460733.000000365,20223066.999999903,20237665.999999996,446058.99999999924,220729.00000000183,225330.0000000004,40014674.00000057,20002337.999999896,20012335.999999996,60.35153142609025,35.10939348233467,35.87375401187315,10884.034514617284,6016.097755765213,6100.691683264025,327.3053613053613,260.0,327.3053613053613,10884.034514617284,6016.097755765213,6100.691683264025,365
CAI,197536.99999999907,98663.99999999983,98872.99999999953,37528847.999999866,18744015.999999933,18784831.99999995,2997984.000000012,1509572.9999999967,1488411.0000000014,34530864.00000002,17234443.000000052,17296421.00000011,39.5876947748303,27.014187530284865,24.46547619047619,7277.406471110589,4884.33540374658,4702.474574239902,1738.5603052503052,918.868253968254,1096.0089104443941,6655.138920940812,4705.130187834606,4629.508455596691,365
CTU,211437.99999999997,105726.99999999955,105711.00000000026,39828927.00000009,19918405.999999944,19910521.000000183,39828787.00000009,19918405.999999944,19910381.000000183,140.0,0.0,140.0,41.94353285603285,25.746664446664447,29.407326007326006,8137.34246031746,4996.826252913753,5849.652486402487,8137.34246031746,4996.826252913753,5849.652486402487,0.0,0.0,0.0,365
DTW,308674.99999999994,154335.00000000006,154339.99999999942,41388313.99999985,20693613.000000086,20694700.999999933,36884007.99999991,18441992.99999996,18442014.99999999,4504305.999999994,2251619.9999999963,2252685.9999999846,78.58100060140777,57.82331980746043,57.27864300153368,10514.775364504776,6830.731630591631,7596.696568790687,9775.795401309633,5516.557182410948,7105.155091722003,2548.9857778692453,1802.965260545905,1400.1820581379407,365
FLL,235104.99999999715,117580.99999999988,117523.99999999981,40339338.99999985,20172714.000000093,20166624.99999987,31016016.000000123,15511070.000000063,15504946.000000013,9323322.999999981,4661643.9999999935,4661679.000000085,65.10366286729406,33.589539284245156,37.487446981123455,10945.971425974594,5970.851724440434,6756.014348672043,8802.144756827282,5276.288000852261,6230.058386971839,4266.691895775757,2368.733928571429,3249.5689257666395,365
BOG,339404.999999998,170037.0000000012,169368.00000000108,56891292.00000016,28569253.999999803,28322037.99999977,36540295.000000075,18249104.999999866,18291189.99999999,20350997.00000009,10320148.999999994,10030848.000000171,61.85462066470103,34.49949984655867,36.03363496027815,10489.559080763735,6156.2400035911805,5928.904022805651,7560.2036626771915,4552.55002513826,4926.793633033632,4304.60682277874,3649.49674790294,3687.602384372842,365
BLR,272302.9999999992,136135.0,136167.99999999962,50893520.99999998,25442578.00000016,25450943.000000045,42533055.99999994,21268328.000000034,21264727.999999955,8360465.000000066,4174249.9999999935,4186214.999999965,53.34487179487179,32.57261072261072,30.83076923076923,9771.288689088688,5819.627272727273,5450.7603729603725,9077.051126651128,5234.379587079587,5048.062781662782,2588.273885836386,1649.6190476190482,1616.7230769230769,365
