iata,name,country,size_m_pax_2025,screen_state,listed
CWL,Cardiff,GB,0.5,not_assessed,True
CXB,,BD,,not_assessed,False
CXH,,CA,,headroom,False
CXJ,Caxias do Sul,BR,0.31,not_assessed,True
CXR,Nha Trang,VN,5.43,headroom,True
CYA,,,,too_short,False
CYB,Cayman Brac,KY,0.14,not_assessed,True
CYD,,,,not_assessed,False
CYF,,US,,not_assessed,False
CYI,Chiayi,TW,0.08,not_assessed,True
CYO,Cayo Largo del Sur,CU,,not_assessed,True
CYP,Calbayog,PH,0.08,not_assessed,True
CYS,,US,,not_assessed,False
CYZ,Cauayan,PH,0.26,not_assessed,True
CZH,,BZ,,not_assessed,False
CZL,Constantine,DZ,1.33,not_assessed,True
CZM,Cozumel,MX,0.64,not_assessed,True
CZR,,,,too_short,False
CZS,Cruzeiro do Sul,BR,,not_assessed,True
CZU,Corozal,CO,0.08,not_assessed,True
CZX,Changzhou,CN,,headroom,True
DAB,Daytona Beach,US,0.75,not_assessed,True
DAC,Dhaka,BD,,tightening,True
DAD,Da Nang,VN,14.17,headroom,True
DAL,Dallas/Fort Worth,US,18.84,headroom,True
DAM,,SY,,not_assessed,False
DAR,Dar Es Salaam,TZ,3.68,tightening,True
DAT,,CN,,not_assessed,False
DAU,,PG,,not_assessed,False
DAV,,PA,,not_assessed,False
DAX,,,,not_assessed,False
DAY,Dayton,US,1.3,headroom,True
DBC,,,,not_assessed,False
DBO,Dubbo,AU,0.27,not_assessed,True
DBQ,Dubuque,US,0.03,not_assessed,True
DBR,DBR,,0.72,too_short,True
DBV,Dubrovnik,HR,3.17,headroom,True
DCA,Washington,US,26.75,tightening,True
DCG,,,,not_assessed,False
DCM,Castres,FR,,not_assessed,True
DCY,,,,not_assessed,False
DDC,Dodge City,US,0.05,not_assessed,True
DDD,,,,not_assessed,False
DDG,,CN,,not_assessed,False
DEB,Debrecen,HU,0.16,not_assessed,True
DEC,,US,,not_assessed,False
DED,Dehra Dun,IN,1.92,not_assessed,True
DEE,,RU,,not_assessed,False
DEF,Dezful,IR,0.15,not_assessed,True
DEL,Delhi,IN,74.72,headroom,True
DEN,Denver,US,80.55,headroom,True
DEX,,,,not_assessed,False
DFW,Dallas/Fort Worth,US,83.75,tightening,True
DGA,,BZ,,headroom,False
DGH,,,,too_short,False
DGO,Durango,MX,0.54,not_assessed,True
DGT,Dumaguete,PH,0.85,not_assessed,True
DHB,,US,,too_short,False
DHG,,,,not_assessed,False
DHI,,NP,,not_assessed,False
DHM,Dharamsala,IN,0.23,not_assessed,True
DHN,Dothan,US,0.12,not_assessed,True
DIB,Dibrugarh,IN,0.88,not_assessed,True
DIE,,MG,,not_assessed,False
DIG,Deqen,CN,0.47,not_assessed,True
DIK,,US,,not_assessed,False
DIL,,TL,,not_assessed,False
DIN,Dien Bien Phu,VN,0.17,not_assessed,True
DIQ,,,,too_short,False
DIR,,ET,,not_assessed,False
DIU,Diu,IN,0.18,not_assessed,True
DIW,,,,not_assessed,False
DIY,Diyarbakir,TR,1.98,not_assessed,True
DJB,Jambi,ID,1.27,not_assessed,True
DJE,Djerba,TN,1.72,not_assessed,True
DJG,,DZ,,too_short,False
DJH,,,,not_assessed,False
